director_name,genres,actor_1_name,actor_2_name,actor_3_name,movie_title,language
Rob Marshall,Action Adventure Fantasy,Johnny Depp,Sam Claflin,Stephen Graham,pirates of the caribbean: on stranger tides,English
Barry Sonnenfeld,Action Adventure Comedy Family Fantasy Sci-Fi,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,men in black 3,English
Peter Jackson,Adventure Fantasy,Aidan Turner,Adam Brown,James Nesbitt,the hobbit: the battle of the five armies,English
Marc Webb,Action Adventure Fantasy,Emma Stone,Andrew Garfield,Chris Zylka,the amazing spider-man,English
Ridley Scott,Action Adventure Drama History,Mark Addy,William Hurt,Scott Grimes,robin hood,English
Peter Jackson,Adventure Fantasy,Aidan Turner,Adam Brown,James Nesbitt,the hobbit: the desolation of smaug,English
Chris Weitz,Adventure Family Fantasy,Christopher Lee,Eva Green,Kristin Scott Thomas,the golden compass,English
Peter Jackson,Action Adventure Drama Romance,Naomi Watts,Thomas Kretschmann,Evan Parke,king kong,English
James Cameron,Drama Romance,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,titanic,English
Anthony Russo,Action Adventure Sci-Fi,Robert Downey Jr.,Scarlett Johansson,Chris Evans,captain america: civil war,English
Peter Berg,Action Adventure Sci-Fi Thriller,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,battleship,English
Colin Trevorrow,Action Adventure Sci-Fi Thriller,Bryce Dallas Howard,Judy Greer,Omar Sy,jurassic world,English
Sam Mendes,Action Adventure Thriller,Albert Finney,Helen McCrory,Rory Kinnear,skyfall,English
Sam Raimi,Action Adventure Fantasy Romance,J.K. Simmons,James Franco,Kirsten Dunst,spider-man 2,English
Shane Black,Action Adventure Sci-Fi,Robert Downey Jr.,Jon Favreau,Don Cheadle,iron man 3,English
Tim Burton,Adventure Family Fantasy,Johnny Depp,Alan Rickman,Anne Hathaway,alice in wonderland,English
Brett Ratner,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,x-men: the last stand,English
Dan Scanlon,Adventure Animation Comedy Family Fantasy,Steve Buscemi,Tyler Labine,Sean Hayes,monsters university,English
Michael Bay,Action Adventure Sci-Fi,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,transformers: revenge of the fallen,English
Michael Bay,Action Adventure Sci-Fi,Bingbing Li,Sophia Myles,Kelsey Grammer,transformers: age of extinction,English
Sam Raimi,Adventure Family Fantasy,Tim Holmes,Mila Kunis,James Franco,oz the great and powerful,English
Marc Webb,Action Adventure Fantasy Sci-Fi,Emma Stone,Andrew Garfield,B.J. Novak,the amazing spider-man 2,English
Joseph Kosinski,Action Adventure Sci-Fi,Jeff Bridges,Olivia Wilde,James Frain,tron: legacy,English
John Lasseter,Adventure Animation Comedy Family Sport,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,cars 2,English
Martin Campbell,Action Adventure Sci-Fi,Ryan Reynolds,Temuera Morrison,Taika Waititi,green lantern,English
Lee Unkrich,Adventure Animation Comedy Family Fantasy,Tom Hanks,John Ratzenberger,Don Rickles,toy story 3,English
McG,Action Adventure Sci-Fi,Christian Bale,Bryce Dallas Howard,Common,terminator salvation,English
James Wan,Action Crime Thriller,Jason Statham,Paul Walker,Vin Diesel,furious 7,English
Marc Forster,Action Adventure Horror Sci-Fi Thriller,Peter Capaldi,Brad Pitt,Mireille Enos,world war z,English
Bryan Singer,Action Adventure Fantasy Sci-Fi Thriller,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,x-men: days of future past,English
J.J. Abrams,Action Adventure Sci-Fi,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,star trek into darkness,English
Bryan Singer,Adventure Fantasy,Eddie Marsan,Ewen Bremner,Ralph Brown,jack the giant slayer,English
Baz Luhrmann,Drama Romance,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,the great gatsby,English
Mike Newell,Action Adventure Fantasy Romance,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,prince of persia: the sands of time,English
Guillermo del Toro,Action Adventure Sci-Fi,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,pacific rim,English
Michael Bay,Action Adventure Sci-Fi,Glenn Morshower,Lester Speight,Kevin Dunn,transformers: dark of the moon,English
Steven Spielberg,Action Adventure Fantasy,Harrison Ford,Ray Winstone,Jim Broadbent,indiana jones and the kingdom of the crystal skull,English
Peter Sohn,Adventure Animation Comedy Family Fantasy,A.J. Buckley,Jack McGraw,Peter Sohn,the good dinosaur,English
Mark Andrews,Adventure Animation Comedy Family Fantasy,Kelly Macdonald,John Ratzenberger,Julie Walters,brave,English
Justin Lin,Action Adventure Sci-Fi Thriller,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,star trek beyond,English
Andrew Stanton,Adventure Animation Family Sci-Fi,John Ratzenberger,Fred Willard,Jeff Garlin,wall·e,English
Brett Ratner,Action Comedy Crime Thriller,Tzi Ma,Dana Ivey,Noémie Lenoir,rush hour 3,English
Roland Emmerich,Action Adventure Sci-Fi,Oliver Platt,Liam James,Tom McCarthy,2012,English
Robert Zemeckis,Animation Drama Family Fantasy,Robin Wright,Colin Firth,Gary Oldman,a christmas carol,English
Lana Wachowski,Action Adventure Sci-Fi,Channing Tatum,Mila Kunis,Eddie Redmayne,jupiter ascending,English
David Yates,Action Adventure Drama Romance,Christoph Waltz,Alexander Skarsgård,Casper Crump,the legend of tarzan,English
Andrew Adamson,Adventure Family Fantasy,Jim Broadbent,Kiran Shah,Shane Rangi,"the chronicles of narnia: the lion, the witch and the wardrobe",English
Bryan Singer,Action Adventure Sci-Fi,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,x-men: apocalypse,English
Christopher Nolan,Action Crime Drama Thriller,Christian Bale,Heath Ledger,Morgan Freeman,the dark knight,English
Pete Docter,Adventure Animation Comedy Family,John Ratzenberger,Delroy Lindo,Jess Harnell,up,English
Rob Letterman,Action Adventure Animation Comedy Family Sci-Fi,Amy Poehler,Rainn Wilson,Stephen Colbert,monsters vs. aliens,English
Jon Favreau,Action Adventure Sci-Fi,Robert Downey Jr.,Jeff Bridges,Jon Favreau,iron man,English
Martin Scorsese,Adventure Drama Family Mystery,Chloë Grace Moretz,Christopher Lee,Ray Winstone,hugo,English
Barry Sonnenfeld,Action Comedy Sci-Fi Western,Will Smith,Salma Hayek,Bai Ling,wild wild west,English
Rob Cohen,Action Adventure Fantasy Horror Thriller,Jet Li,Brendan Fraser,Russell Wong,the mummy: tomb of the dragon emperor,English
David Ayer,Action Adventure Comedy Sci-Fi,Will Smith,Robin Atkin Downes,Ike Barinholtz,suicide squad,English
Tom Shadyac,Comedy Family Fantasy,Jimmy Bennett,Morgan Freeman,Steve Carell,evan almighty,English
Doug Liman,Action Adventure Sci-Fi,Tom Cruise,Lara Pulver,Noah Taylor,edge of tomorrow,English
Kevin Reynolds,Action Adventure Sci-Fi Thriller,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,waterworld,English
Stephen Sommers,Action Adventure Sci-Fi Thriller,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,g.i. joe: the rise of cobra,English
Pete Docter,Adventure Animation Comedy Drama Family Fantasy,Amy Poehler,Mindy Kaling,Phyllis Smith,inside out,English
Jon Favreau,Adventure Drama Family Fantasy,Scarlett Johansson,Bill Murray,Garry Shandling,the jungle book,English
Jon Favreau,Action Adventure Sci-Fi,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,iron man 2,English
Rupert Sanders,Action Adventure Drama Fantasy,Chris Hemsworth,Kristen Stewart,Sam Claflin,snow white and the huntsman,English
Robert Stromberg,Action Adventure Family Fantasy Romance,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,maleficent,English
Matt Reeves,Action Adventure Drama Sci-Fi,Gary Oldman,Judy Greer,Kodi Smit-McPhee,dawn of the planet of the apes,English
Roland Joffé,Action Adventure Romance Sci-Fi,Tamsin Egerton,Alice Englert,Bipasha Basu,the lovers,English
Carl Rinsch,Action Adventure Drama Fantasy,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,47 ronin,English
Anthony Russo,Action Adventure Sci-Fi,Scarlett Johansson,Chris Evans,Hayley Atwell,captain america: the winter soldier,English
Mike Mitchell,Adventure Animation Comedy Family Fantasy,Jon Hamm,Kathy Griffin,Mary Kay Place,shrek forever after,English
Brad Bird,Action Adventure Family Mystery Sci-Fi,Judy Greer,Chris Bauer,Thomas Robinson,tomorrowland,English
Don Hall,Action Adventure Animation Comedy Drama Family Sci-Fi,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,big hero 6,English
Rich Moore,Adventure Animation Comedy Family Sci-Fi,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,wreck-it ralph,English
Robert Zemeckis,Adventure Animation Family Fantasy,Tom Hanks,Eddie Deezen,Peter Scolari,the polar express,English
Roland Emmerich,Action Adventure Sci-Fi,Vivica A. Fox,Sela Ward,Judd Hirsch,independence day: resurgence,English
Dean DeBlois,Adventure Animation Family Fantasy,Gerard Butler,America Ferrera,Craig Ferguson,how to train your dragon,English
Jonathan Mostow,Action Sci-Fi,Nick Stahl,M.C. Gainey,Carolyn Hennesy,terminator 3: rise of the machines,English
James Gunn,Action Adventure Sci-Fi,Bradley Cooper,Vin Diesel,Djimon Hounsou,guardians of the galaxy,English
Christopher Nolan,Adventure Drama Sci-Fi,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,interstellar,English
Christopher Nolan,Action Adventure Sci-Fi Thriller,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,inception,English
Hideaki Anno,Action Adventure Drama Horror Sci-Fi,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,godzilla resurgence,Japanese
Peter Jackson,Adventure Fantasy,Aidan Turner,Adam Brown,James Nesbitt,the hobbit: an unexpected journey,English
Rob Cohen,Action Crime Thriller,Paul Walker,Vin Diesel,Jordana Brewster,the fast and the furious,English
David Fincher,Drama Fantasy Romance,Brad Pitt,Jason Flemyng,Julia Ormond,the curious case of benjamin button,English
Matthew Vaughn,Action Adventure Sci-Fi,Jennifer Lawrence,Michael Fassbender,Oliver Platt,x-men: first class,English
Francis Lawrence,Adventure Sci-Fi,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,the hunger games: mockingjay - part 2,English
Jon Turteltaub,Action Adventure Family Fantasy,Nicolas Cage,Omar Benson Miller,Robert Capron,the sorcerer's apprentice,English
Wolfgang Petersen,Action Adventure Drama Thriller,Jimmy Bennett,Mike Vogel,Andre Braugher,poseidon,English
James Bobin,Adventure Family Fantasy,Johnny Depp,Alan Rickman,Anne Hathaway,alice through the looking glass,English
Chris Miller,Adventure Animation Comedy Family Fantasy,Justin Timberlake,Eric Idle,Rupert Everett,shrek the third,English
Duncan Jones,Action Adventure Fantasy,Dominic Cooper,Callum Rennie,Ruth Negga,warcraft,English
Alan Taylor,Action Adventure Sci-Fi,J.K. Simmons,Emilia Clarke,Matt Smith,terminator genisys,English
Michael Apted,Adventure Family Fantasy,Bruce Spence,Shane Rangi,Laura Brent,the chronicles of narnia: the voyage of the dawn treader,English
Michael Bay,Action Drama History Romance War,Jennifer Garner,Jaime King,Mako,pearl harbor,English
Michael Bay,Action Adventure Sci-Fi,Zack Ward,Michael O'Neill,Kevin Dunn,transformers,English
Oliver Stone,Action Adventure Biography Drama History Romance War,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,alexander,English
David Yates,Adventure Family Fantasy Mystery,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,harry potter and the order of the phoenix,English
Mike Newell,Adventure Family Fantasy Mystery,Robert Pattinson,Daniel Radcliffe,Rupert Grint,harry potter and the goblet of fire,English
Peter Berg,Action Drama,Will Smith,Charlize Theron,Eddie Marsan,hancock,English
Francis Lawrence,Drama Horror Sci-Fi,Will Smith,Alice Braga,Willow Smith,i am legend,English
Tim Burton,Adventure Comedy Family Fantasy,Johnny Depp,Christopher Lee,David Kelly,charlie and the chocolate factory,English
Brad Bird,Animation Comedy Family Fantasy,Janeane Garofalo,John Ratzenberger,Brian Dennehy,ratatouille,English
Christopher Nolan,Action Adventure,Christian Bale,Liam Neeson,Morgan Freeman,batman begins,English
Eric Darnell,Action Adventure Animation Comedy Family,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,madagascar: escape 2 africa,English
Shawn Levy,Adventure Comedy Family Fantasy,Robin Williams,Rami Malek,Steve Coogan,night at the museum: battle of the smithsonian,English
Gavin Hood,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,x-men origins: wolverine,English
Lana Wachowski,Action Sci-Fi,Essie Davis,Collin Chou,Nona Gaye,the matrix revolutions,English
Chris Buck,Adventure Animation Comedy Family Fantasy Musical,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,frozen,English
Lana Wachowski,Action Sci-Fi,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,the matrix reloaded,English
Alan Taylor,Action Adventure Fantasy,Chris Hemsworth,Natalie Portman,Anthony Hopkins,thor: the dark world,English
George Miller,Action Adventure Sci-Fi Thriller,Tom Hardy,Charlize Theron,Zoë Kravitz,mad max: fury road,English
Ron Howard,Mystery Thriller,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,angels & demons,English
Kenneth Branagh,Action Adventure Fantasy,Chris Hemsworth,Natalie Portman,Anthony Hopkins,thor,English
Byron Howard,Adventure Animation Comedy Drama Family,Chloë Grace Moretz,Diedrich Bader,James Lipton,bolt,English
Hoyt Yeatman,Action Adventure Animation Comedy Family Fantasy Sci-Fi,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,g-force,English
Jonathan Liebesman,Action Adventure Fantasy,Liam Neeson,Edgar Ramírez,Lily James,wrath of the titans,English
Tim Burton,Comedy Fantasy Horror,Johnny Depp,Chloë Grace Moretz,Christopher Lee,dark shadows,English
Christopher McQuarrie,Action Adventure Thriller,Tom Cruise,Jeremy Renner,Sean Harris,mission: impossible - rogue nation,English
Joe Johnston,Drama Fantasy Horror Thriller,Anthony Hopkins,Simon Merrells,Art Malik,the wolfman,English
David Yates,Action Adventure Drama Romance,Christoph Waltz,Alexander Skarsgård,Casper Crump,the legend of tarzan,English
Steve Hickner,Adventure Animation Comedy Family,Matthew Broderick,Oprah Winfrey,Rip Torn,bee movie,English
Jennifer Yuh Nelson,Action Adventure Animation Comedy Family,Angelina Jolie Pitt,Gary Oldman,Mike Bell,kung fu panda 2,English
M. Night Shyamalan,Action Adventure Family Fantasy,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,the last airbender,English
J.J. Abrams,Action Adventure Thriller,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,mission: impossible iii,English
Roland Emmerich,Action Drama Thriller,Channing Tatum,Jake Weber,Matt Craven,white house down,English
Simon Wells,Action Adventure Animation Comedy Family Sci-Fi,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,mars needs moms,English
David Bowers,Adventure Animation Comedy Family,Hugh Jackman,Kate Winslet,David Suchet,flushed away,English
Joe Wright,Adventure Family Fantasy,Hugh Jackman,Cara Delevingne,Nonso Anozie,pan,English
Rob Minkoff,Adventure Animation Comedy Family Sci-Fi,Ty Burrell,Zach Callison,Karan Brar,mr. peabody & sherman,English
Wolfgang Petersen,Adventure,Brad Pitt,Orlando Bloom,Julian Glover,troy,English
Eric Darnell,Adventure Animation Comedy Family,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,madagascar 3: europe's most wanted,English
Lee Tamahori,Action Adventure Thriller,Toby Stephens,Colin Salmon,Rick Yune,die another day,English
Paul Feig,Action Comedy Fantasy Sci-Fi,Ed Begley Jr.,Kate McKinnon,Zach Woods,ghostbusters,English
Michael Bay,Action Adventure Sci-Fi Thriller,Bruce Willis,Steve Buscemi,Will Patton,armageddon,English
Barry Sonnenfeld,Action Adventure Comedy Family Fantasy Mystery Sci-Fi,Will Smith,Rosario Dawson,Rip Torn,men in black ii,English
Robert Zemeckis,Action Adventure Animation Fantasy,Robin Wright,Anthony Hopkins,Sebastian Roché,beowulf,English
Alessandro Carloni,Action Adventure Animation Comedy Family,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,kung fu panda 3,English
Brad Bird,Action Adventure Thriller,Tom Cruise,Jeremy Renner,Michael Nyqvist,mission: impossible - ghost protocol,English
Peter Ramsey,Adventure Animation Family Fantasy,Hugh Jackman,Kamil McFadden,Khamani Griffin,rise of the guardians,English
Dean Parisot,Comedy Crime,John Michael Higgins,Richard Burgi,David Herman,fun with dick and jane,English
Edward Zwick,Action Drama History War,Tom Cruise,Tony Goldwyn,Chad Lindberg,the last samurai,English
Ridley Scott,Action Adventure Drama,Christian Bale,María Valverde,Ben Mendelsohn,exodus: gods and kings,English
J.J. Abrams,Action Adventure Sci-Fi,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood,star trek,English
Sam Raimi,Action Adventure Fantasy Romance,J.K. Simmons,James Franco,Kirsten Dunst,spider-man,English
Dean DeBlois,Action Adventure Animation Comedy Family Fantasy,Gerard Butler,Djimon Hounsou,America Ferrera,how to train your dragon 2,English
Alex Proyas,Action Adventure Fantasy,Gerard Butler,Elodie Yung,Bryan Brown,gods of egypt,English
Rob Cohen,Action Adventure Sci-Fi Thriller,Sam Shepard,Joe Morton,Richard Roxburgh,stealth,English
Zack Snyder,Action Drama Mystery Sci-Fi,Matt Frewer,Billy Crudup,Stephen McHattie,watchmen,English
Richard Donner,Action Crime Thriller,Jet Li,Rene Russo,Darlene Love,lethal weapon 4,English
Ang Lee,Action Sci-Fi,Kevin Rankin,Regi Davis,Celia Weston,hulk,English
Jon M. Chu,Action Adventure Sci-Fi Thriller,Channing Tatum,Dwayne Johnson,Elodie Yung,g.i. joe: retaliation,English
Breck Eisner,Action Adventure Comedy Thriller,Matthew McConaughey,Rainn Wilson,Delroy Lindo,sahara,English
Hironobu Sakaguchi,Action Adventure Animation Fantasy Romance Sci-Fi,Steve Buscemi,Ming-Na Wen,Jean Simmons,final fantasy: the spirits within,English
Joe Johnston,Action Adventure Sci-Fi,Chris Evans,Dominic Cooper,Hayley Atwell,captain america: the first avenger,English
Michael Apted,Action Adventure Thriller,Colin Salmon,Maria Grazia Cucinotta,Desmond Llewelyn,the world is not enough,English
Peter Weir,Action Adventure Drama History War,James D'Arcy,Lee Ingleby,David Threlfall,master and commander: the far side of the world,English
Bill Condon,Adventure Drama Fantasy Romance,Robert Pattinson,Kristen Stewart,Taylor Lautner,the twilight saga: breaking dawn - part 2,English
George Miller,Animation Comedy Family Musical,Robin Williams,Brad Pitt,Common,happy feet 2,English
Louis Leterrier,Action Adventure Sci-Fi,Ty Burrell,Peter Mensah,William Hurt,the incredible hulk,English
unknown,Action Crime Drama Mystery Thriller,Don Johnson,Philip Michael Thomas,John Diehl,miami vice            ,English
Steven Spielberg,Adventure Family Fantasy,Mark Rylance,Penelope Wilton,Rafe Spall,the bfg,English
Alejandro G. Iñárritu,Adventure Drama Thriller Western,Leonardo DiCaprio,Tom Hardy,Lukas Haas,the revenant,English
David Soren,Adventure Animation Comedy Family Sport,Ryan Reynolds,Snoop Dogg,Ben Schwartz,turbo,English
Gore Verbinski,Adventure Animation Comedy Family Western,Johnny Depp,Ray Winstone,Stephen Root,rango,English
Eric Darnell,Adventure Animation Comedy Family,Benedict Cumberbatch,Annet Mahendru,Andy Richter,penguins of madagascar,English
Paul Greengrass,Action Mystery Thriller,Matt Damon,Edgar Ramírez,Albert Finney,the bourne ultimatum,English
Mark Osborne,Action Adventure Animation Comedy Family,Angelina Jolie Pitt,Wayne Knight,Dan Fogler,kung fu panda,English
Peyton Reed,Action Adventure Comedy Sci-Fi,Judy Greer,Hayley Atwell,T.I.,ant-man,English
Francis Lawrence,Adventure Sci-Fi Thriller,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty,the hunger games: catching fire,English
Bill Condon,Adventure Drama Fantasy Romance,Robert Pattinson,Kristen Stewart,Taylor Lautner,the twilight saga: breaking dawn - part 2,English
Tim Johnson,Adventure Animation Comedy Family Fantasy Sci-Fi,Jim Parsons,Matt Jones,April Winchell,home,English
Steven Spielberg,Adventure Sci-Fi Thriller,Tom Cruise,Lisa Ann Walter,Rick Gonzalez,war of the worlds,English
Michael Bay,Action Comedy Crime Thriller,Will Smith,Henry Rollins,Jordi Mollà,bad boys ii,English
Chris Miller,Action Adventure Animation Comedy Family Fantasy,Salma Hayek,Constance Marie,Amy Sedaris,puss in boots,English
Phillip Noyce,Action Crime Mystery Thriller,Angelina Jolie Pitt,Andre Braugher,August Diehl,salt,English
Darren Aronofsky,Action Adventure Drama,Anthony Hopkins,Emma Watson,Logan Lerman,noah,English
Steven Spielberg,Action Adventure Family Mystery,Toby Jones,Mackenzie Crook,Tony Curran,the adventures of tintin,English
Alfonso Cuarón,Adventure Family Fantasy Mystery,Daniel Radcliffe,Gary Oldman,Rupert Grint,harry potter and the prisoner of azkaban,English
Baz Luhrmann,Adventure Drama Romance War,Essie Davis,Bryan Brown,Eddie Baroo,australia,English
M. Night Shyamalan,Action Adventure Sci-Fi,Will Smith,Zoë Kravitz,Glenn Morshower,after earth,English
Eric Leighton,Adventure Animation Family Thriller,Alfre Woodard,D.B. Sweeney,Della Reese,dinosaur,English
Matt Birch,Action Fantasy,Rupert Grint,Dave Legeno,Ralph Ineson,harry potter and the deathly hallows: part ii,English
Shawn Levy,Adventure Comedy Family Fantasy,Robin Williams,Rami Malek,Steve Coogan,night at the museum: secret of the tomb,English
Tom McGrath,Action Animation Comedy Family Sci-Fi,J.K. Simmons,Brad Pitt,Will Ferrell,megamind,English
Chris Columbus,Adventure Family Fantasy,Daniel Radcliffe,Fiona Shaw,Verne Troyer,harry potter and the sorcerer's stone,English
Robert Schwentke,Action Comedy Fantasy,Ryan Reynolds,Jeff Bridges,Stephanie Szostak,r.i.p.d.,English
Hideaki Anno,Action Adventure Drama Horror Sci-Fi,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,godzilla resurgence,Japanese
Gore Verbinski,Action Adventure Fantasy,Johnny Depp,Orlando Bloom,Jack Davenport,pirates of the caribbean: the curse of the black pearl,English
Matt Birch,Fantasy,Rupert Grint,Toby Jones,Alfred Enoch,harry potter and the deathly hallows: part i,English
Francis Lawrence,Adventure Sci-Fi Thriller,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,the hunger games: mockingjay - part 1,English
Ron Howard,Mystery Thriller,Tom Hanks,Seth Gabel,Jürgen Prochnow,the da vinci code,English
Carlos Saldanha,Adventure Animation Comedy Family Musical,Miguel Ferrer,Rachel Crow,Jeffrey Garcia,rio 2,English
Bryan Singer,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,Bruce Davison,Aaron Stanford,x-men 2,English
Justin Lin,Action Crime Thriller,Paul Walker,Vin Diesel,Dwayne Johnson,fast five,English
Guy Ritchie,Action Adventure Crime Mystery Thriller,Robert Downey Jr.,Eddie Marsan,Paul Anderson,sherlock holmes: a game of shadows,English
Louis Leterrier,Action Adventure Fantasy,Liam Neeson,Jason Flemyng,Alexa Davalos,clash of the titans,English
Paul Verhoeven,Action Sci-Fi,Ronny Cox,Rachel Ticotin,Marshall Bell,total recall,English
John McTiernan,Action Adventure History,Tony Curran,Vladimir Kulich,Clive Russell,the 13th warrior,English
Tony Gilroy,Action Adventure Thriller,Jeremy Renner,Scott Glenn,Stacy Keach,the bourne legacy,English
Joel Schumacher,Action,Michael Gough,Vivica A. Fox,John Glover,batman & robin,English
Ron Howard,Comedy Family Fantasy,Clint Howard,T.J. Thyne,Molly Shannon,how the grinch stole christmas,English
Roland Emmerich,Action Adventure Sci-Fi Thriller,Jake Gyllenhaal,Dennis Quaid,Sela Ward,the day after tomorrow,English
John Woo,Action Adventure Thriller,Tom Cruise,Dougray Scott,Richard Roxburgh,mission: impossible ii,English
Wolfgang Petersen,Action Adventure Drama Thriller,Karen Allen,Mary Elizabeth Mastrantonio,Bob Gunton,the perfect storm,English
Tim Story,Action Adventure Sci-Fi Thriller,Chris Evans,Ioan Gruffudd,Andre Braugher,fantastic 4: rise of the silver surfer,English
Ang Lee,Adventure Drama Fantasy,Suraj Sharma,Rafe Spall,Tabu,life of pi,English
Mark Steven Johnson,Action Fantasy Thriller,Nicolas Cage,Matt Long,Peter Fonda,ghost rider,English
Paul Greengrass,Action Thriller,Matt Damon,Riz Ahmed,Ato Essandoh,jason bourne,English
McG,Action Adventure Comedy Crime,Demi Moore,Bernie Mac,Justin Theroux,charlie's angels: full throttle,English
Ridley Scott,Adventure Mystery Sci-Fi,Michael Fassbender,Charlize Theron,Sean Harris,prometheus,English
Rob Minkoff,Adventure Animation Comedy Family Fantasy,Nathan Lane,Brad Garrett,Melanie Griffith,stuart little 2,English
Neill Blomkamp,Action Drama Sci-Fi Thriller,Matt Damon,Sharlto Copley,Alice Braga,elysium,English
David Twohy,Action Adventure Sci-Fi Thriller,Vin Diesel,Alexa Davalos,Christina Cox,the chronicles of riddick,English
José Padilha,Action Crime Sci-Fi Thriller,Gary Oldman,Abbie Cornish,Jennifer Ehle,robocop,English
Lana Wachowski,Action Family Sport,Scott Porter,Kick Gurry,Nicholas Elia,speed racer,English
James L. Brooks,Comedy Drama Romance,Shelley Conn,Domenick Lombardozzi,Teyonah Parris,how do you know,English
James Mangold,Action Comedy Romance,Tom Cruise,Marc Blucas,Jordi Mollà,knight and day,English
Joseph Kosinski,Action Adventure Mystery Sci-Fi,Morgan Freeman,Tom Cruise,Zoë Bell,oblivion,English
